CUI_ID,Gene
C1421880,arl6
C1824208,arl6ip1
C1425285,arl6ip4
C1538931,arl6ip5
C1854053,arl6ip5
C1538932,arl6ip6
C1824209,arl8a
C1824210,arl8b
C1428141,arl9
C1538934,armc1
C2239904,armc10
C1427872,armc2
C1429025,armc3
C1428503,armc4
C1538935,armc5
C1538936,armc6
C1538937,armc7
C1538938,armc8
C1824218,armc9
C1538939,armcx1
C1538940,armcx2
C1538939,armcx3
C1538941,armcx3
C1538942,armcx4
C1538943,armcx5
C1538944,armcx6
C1824219,arms2
C1332116,arnt
C1506870,arnt
C1704839,arnt
C1332115,arnt2
C1332336,arnt2
C1705842,arnt2
C1412544,arntl
C1425931,arntl2
C1412545,arpc1a
C1412546,arpc1b
C1412547,arpc2
C1412548,arpc3
C1412549,arpc4
C1412550,arpc5
C1428052,arpc5l
C1837928,arpm1
C1854225,arpp19
C2699119,arpp21
C1412551,arr3
C1332117,arrb1
C1614415,arrb1
C1412552,arrb2
C1428725,arrdc1
C1428455,arrdc2
C1428822,arrdc3
C1428668,arrdc4
C1538946,arrdc5
C1412553,arsa
C3853627,arsa
C1412554,arsb
C1539788,arsb
C1615657,arsb
C1412556,arsd
C1412558,arse
C1412560,arsf
C1825082,arsg
C1825083,arsh
C1825084,arsi
C1825085,arsj
C1825086,arsk
C1335209,art1
C1412562,art1
C1705700,art1
C1412564,art3
C1825087,art4
C1540199,art5
C1412566,artn
C1540200,arv1
C1412567,arvcf
C1425272,arx
C1826967,arx
C3541278,arx
C1540201,as3mt
C1412573,asah1
C2000891,asah1
C1425831,asah2
C1570403,asah2
C1540202,asah2b
C1540203,asah2b
C3537384,asah2b
C1413944,asap1
C1413945,asap2
C1423113,asap3
C1423907,asb1
C1424806,asb10
C1424807,asb11
C1426392,asb12
C1426394,asb13
C1426395,asb14
C1426396,asb15
C1426397,asb16
C1426398,asb17
C1426399,asb18
C1423908,asb2
C1423909,asb3
C1423906,asb4
C1424801,asb5
C1424802,asb6
C1424803,asb7
C1424804,asb8
C1424805,asb9
C1428365,ascc1
C1540205,ascc2
C1540206,ascc3
C0083344,ascl1
C1332009,ascl1
C1412575,ascl2
C1412576,ascl3
C1540208,ascl4
C1825088,ascl5
C1427233,asf1a
C1427234,asf1b
C1412578,asgr1
C1412579,asgr2
C1426004,ash1l
C1412580,ash2l
C1412116,asic3
C1412581,asip
C1423939,asip
C4085213,asip
C4085255,asip
C1412582,asl
C3891302,asl
C1412585,asmt
C1848322,asmt
C1412586,asmtl
C1539169,asmtl-as1
C1412587,asna1
C1412588,asns
C1825089,asnsd1
C1412591,aspa
C2681122,aspdh
C2681123,aspg
